Nir,Red,SWIR1,DEM,MRVBF,TWI,EC.class
0.21012339,0.188330635,0.195349753,1116.234375,0.596602773,5.783810981,S1
0.255311668,0.229756251,0.266834766,1086.8125,2.042114275,7.12035121,S3
0.260919094,0.230409563,0.25336206,1088.875,1.660080497,6.334871769,S2
0.453479409,0.385424852,0.431486607,1044.9375,3.764282943,5.781615086,S3
0.249276191,0.215518892,0.298460692,1144.09375,0.163797255,5.725122936,S1
0.345017195,0.151221246,0.144533992,999.3125,5.718162507,7.048370928,S2
0.348643035,0.297404468,0.362220228,1002.734375,1.336586605,6.073546685,S2
0.378123939,0.314455152,0.35119158,1019.921875,4.532818604,6.643734455,S2
0.299762279,0.261554331,0.28704688,1023.578125,0.84831782,5.864969879,S3
0.270671248,0.238288954,0.261687517,1036.46875,1.46154892,6.091942959,S2
0.328764379,0.280188322,0.372962534,1043.953125,1.030013925,6.101646803,S1
0.28149727,0.248886526,0.302705467,1176.640625,1.989811413,6.206480473,S1
0.275748223,0.243721694,0.286334574,1094.1875,1.723701127,6.338937283,S4
0.342257321,0.254398435,0.282894909,1019.796875,5.642200574,6.218744703,S3
0.24985823,0.224467531,0.262869239,1116.484375,1.5433351,6.191387653,S4
0.277229398,0.248797908,0.272636831,1058.734375,2.352669835,6.043233328,S3
0.254401356,0.228380173,0.26549533,1098.828125,1.685822413,6.213436991,S4
0.27315098,0.238814116,0.272478819,1050.109375,0.622692045,6.227558121,S3
0.325126141,0.160889924,0.161771774,1030.875,4.466757614,6.62571191,S2
0.281018496,0.245269001,0.309039742,1113.578125,1.026872822,5.665415466,S3
0.243848115,0.219532415,0.259316683,1141.109375,0.998154966,6.224362388,S3
0.343453676,0.266711384,0.308547497,1048.671875,3.761370275,6.496206105,S2
0.317537665,0.270775497,0.347228825,1002.875,2.878263086,6.30786372,S3
0.357150316,0.303289294,0.358250618,1020.875,5.180562835,6.772358783,S4
0.298567712,0.265803516,0.274919808,1067.046875,2.000011558,6.540911466,S2
0.27120766,0.241290271,0.279979169,1086.03125,1.288391857,6.130317852,S4
0.269435167,0.237778902,0.261185676,1066,2.032586105,6.250785358,S1
0.303637028,0.265460074,0.289465457,1088.734375,1.15567265,5.756711245,S1
0.259395063,0.23146373,0.269105613,1149.4375,0.715392858,5.536052838,S4
0.374184847,0.305436909,0.347138494,1009.9375,4.352272722,6.748554155,S3
0.305348873,0.264061987,0.320354044,1054.53125,3.121480768,6.066532686,S3
0.273698717,0.239496917,0.265224993,1032.078125,1.953161483,6.44476261,S2
0.286301941,0.250609219,0.307050347,1078.5625,0.372319857,5.899723463,S3
0.314909488,0.274222374,0.319045365,1049.46875,3.727273408,6.102340326,S3
0.294884086,0.259557903,0.272683382,1077.046875,1.448778844,6.358559638,S4
0.394448996,0.340709388,0.3603791,1052.640625,0.725017236,5.330269091,S3
0.316199481,0.243027508,0.276467323,1018.984375,3.669317909,6.473128043,S2
0.259344041,0.226306871,0.262772679,1067.796875,1.852442421,6.834416933,S3
0.277215362,0.24632588,0.299951196,1210.4375,0.705800828,5.880205847,S1
0.369996637,0.317538053,0.350788981,995.34375,4.822673528,5.978399009,S4
0.27546528,0.242433786,0.259616375,1179.703125,0.916446625,7.726687208,S1
0.285668075,0.247485667,0.333129078,1037.234375,1.515187915,5.936311275,S3
0.269204646,0.237809554,0.256117463,1046.84375,1.300307454,6.143209688,S4
0.33622241,0.285908341,0.357376605,1005.765625,2.42801885,6.436120078,S3
0.279576659,0.245754689,0.271295518,1039.53125,0.958916304,6.398673438,S2
0.385690361,0.326276064,0.362336904,1007.4375,5.422601301,6.115759544,S4
0.348849416,0.167094871,0.170200735,1028.328125,4.730157442,7.218872346,S1
0.373432994,0.321573317,0.369829237,995.25,5.727474734,5.933022872,S4
0.278919488,0.249713063,0.284875154,1062.84375,2.112013732,7.167249739,S4
0.238884211,0.214786366,0.278296679,1098.21875,0.753503627,5.760718189,S4
0.298711002,0.264523834,0.305461884,1037.28125,1.486228705,5.763660565,S1
0.204555288,0.179858983,0.203199312,1185.015625,1.46E-05,3.242570404,S1
0.272049367,0.235393822,0.296433359,1128.421875,1.081403607,6.081344262,S3
0.28089565,0.248778909,0.26075837,1075.375,1.852947485,6.742215961,S2
0.392372191,0.329313129,0.380461514,1030.859375,0.600881405,5.66993206,S2
0.307030708,0.261349916,0.338322878,1008.875,2.583439074,6.063033357,S3
0.261091709,0.2261049,0.283619851,1083.6875,0.841916904,6.708351918,S1
0.253005385,0.22348842,0.256740808,1246.09375,1.109636559,6.265430622,S3
0.24914524,0.215916157,0.296313256,1133.359375,0.655378217,4.761494182,S3
0.374055803,0.316860557,0.357991815,995.796875,2.474064054,5.95454663,S4
0.323817104,0.274885088,0.36586076,1033.75,1.360043187,6.463638917,S2
0.368597806,0.313095123,0.379832059,1026.96875,4.524559706,6.416737288,S4
0.262302727,0.231444687,0.258163601,1054.265625,1.294668932,6.019856773,S4
0.255357027,0.226579159,0.245066196,1025.296875,0.746239542,6.866427504,S1
0.310527802,0.153830558,0.149793863,1021.390625,4.533186704,6.591235071,S3
0.288079619,0.249786407,0.321834803,1101.890625,1.016052551,6.163403936,S3
0.315148115,0.277881622,0.311473817,1041.40625,1.248988416,5.654523194,S3
0.249716207,0.224675596,0.262967795,1127.03125,1.146784708,6.206284739,S4
0.273982942,0.243437499,0.312769711,1201.109375,0.815099152,5.834686279,S1
0.422876239,0.363379002,0.411133707,1039.59375,2.564636081,6.163752437,S2
0.265292168,0.233497009,0.2600528,1022.859375,0.981249424,6.262514472,S3
0.312820733,0.160034686,0.167342782,1024.453125,5.731211774,6.713125862,S2
0.297995567,0.251769006,0.312922269,1111.453125,1.571342844,6.730869465,S1
0.358640969,0.300383627,0.366783559,1028.890625,4.596100774,6.428051062,S4
0.358893961,0.310038149,0.352462828,1032.828125,3.119676577,6.064913742,S4
0.228802741,0.20538348,0.259959549,1123.53125,2.26056795,5.843818903,S1
0.488621056,0.41427362,0.464748919,1060.0625,1.438199298,5.92062179,S4
0.254876226,0.220848113,0.282002211,1144.078125,1.399025992,6.654919751,S1
0.235530645,0.212134466,0.176781505,1171,0.729016333,5.667905271,S4
0.329689562,0.289196134,0.315129042,1044.703125,1.751529531,6.14987953,S2
0.340213895,0.208662599,0.21631521,1003.453125,4.930346489,5.99521251,S2
0.439346492,0.374103159,0.42325446,1089.375,0.374050302,5.752113022,S3
0.219699055,0.192139268,0.248805493,1137.265625,0.174583631,4.534877099,S2
0.274158686,0.237810716,0.292766929,1131.78125,0.291710165,5.975893393,S3
0.334418416,0.210410804,0.249660268,1072.578125,1.762414206,6.608980939,S1
0.292340159,0.256888986,0.282533497,1164.046875,1.91346206,6.605766512,S4
0.341356456,0.268429309,0.305203199,1015.21875,5.581374068,6.204028815,S3
0.290680468,0.252612889,0.284058332,1054.71875,1.7087572,6.211115099,S1
0.268212825,0.23704046,0.262505621,1024.6875,1.681557327,6.607837595,S1
0.303807974,0.263789952,0.295684129,1088.453125,0.093253142,5.279661089,S2
0.322402209,0.165326655,0.16733411,1034.640625,4.454181127,6.454215698,S2
0.438385069,0.369640172,0.418712616,1061.90625,0.996350746,6.745658159,S3
0.340386629,0.291280746,0.359522253,1020.03125,0.985012406,5.597506121,S3
0.373108298,0.31518954,0.3682006,1006.0625,2.660537438,6.447645098,S4
0.258393288,0.23084344,0.265984237,1110.984375,0.56127743,5.813420705,S4
0.266695559,0.237256199,0.289550215,1128.84375,1.523151225,6.324692711,S4
0.380013824,0.324058771,0.364310026,1003.671875,5.764472447,6.369035505,S4
0.302938849,0.262521386,0.338587999,1045.140625,0.97965812,5.709230289,S2
0.316462457,0.275184065,0.320572078,1055.5,1.620503142,6.288675711,S3
0.278986901,0.240147725,0.324733883,1071.03125,1.187432052,5.919560477,S1
0.291958064,0.256078064,0.332986951,1212.484375,0.872667339,7.009981163,S3
0.38144061,0.32567513,0.34823063,992.453125,5.780516123,6.452598624,S4
0.282256216,0.246935412,0.310316265,1087.1875,1.25085583,5.792586803,S3
0.271705866,0.237183616,0.259849131,1218.84375,1.831071203,5.805212028,S1
0.27601254,0.245563298,0.281642556,1067.71875,1.530890526,6.152272031,S3
0.238913268,0.216986895,0.199091733,1125.046875,1.200205851,5.85997957,S3
0.265835613,0.236790329,0.301124513,1153.9375,0.74986069,6.783854723,S3
0.272981763,0.242613882,0.269686759,1108.03125,1.715391514,6.50876078,S1
0.316092998,0.268480182,0.363982975,1035.9375,0.555614854,6.576258652,S3
0.323589802,0.190332085,0.212527066,1050.25,1.732739101,7.310180739,S2
0.265478253,0.234012812,0.255457878,1022.6875,1.573854842,7.147307172,S1
0.32281518,0.274548173,0.299603552,1018.296875,1.845441976,5.852792203,S3
0.298461437,0.264908433,0.277623594,1132.515625,1.00492765,5.702152774,S1
0.21839866,0.200276673,0.233660936,1138.125,0.607789425,5.868825719,S1
0.389172256,0.336000293,0.368614942,1046.625,3.433417676,6.986363992,S3
0.324728459,0.284515858,0.301191926,1115.921875,1.843515778,6.857696317,S1
0.414983153,0.348325789,0.38971436,1034.4375,3.73909527,6.238072179,S4
0.377721965,0.322781712,0.367862612,999.375,5.945900679,6.649993829,S4
0.269017041,0.226173952,0.303049564,1068.390625,0.145449665,4.087933078,S2
0.351320922,0.297849715,0.367439985,1026.046875,1.41639761,5.870806068,S2
0.35596633,0.30297482,0.34076649,1030.890625,0.460563666,4.466402769,S2
0.430435747,0.365667403,0.39579615,1040.53125,2.739931644,6.009119339,S2
0.31488806,0.278079093,0.304830998,1045.328125,2.747656323,6.37350253,S4
0.279338479,0.236270547,0.328665972,1030.8125,1.462392533,6.305192918,S1
0.26526022,0.23638472,0.274442136,1104.4375,1.033500261,5.498653792,S3
0.27566576,0.239793763,0.272750527,1032.734375,0.544256419,6.079795517,S3
0.318401933,0.226739481,0.260612905,1016.984375,5.746576205,6.642683066,S3
0.30483526,0.259222567,0.334954262,1009.9375,2.569069982,6.119461887,S3
0.396982759,0.334575146,0.371444434,1051.015625,3.854236148,6.608777419,S2
0.332876205,0.273387939,0.36127606,1069.8125,2.018075917,6.638189681,S1
0.378977001,0.321617454,0.373459011,1008.109375,5.553633139,6.71034196,S4
0.332982272,0.195745498,0.209030956,1013.921875,5.100877419,6.957651265,S2
0.346947491,0.295643538,0.34806639,1024.328125,1.313479021,5.952816568,S4
0.273814738,0.241642922,0.258577615,1098.375,2.250537268,6.43712569,S3
0.362735629,0.311509699,0.352695137,992.46875,5.939665116,6.603481926,S4
0.27429992,0.227971241,0.330052942,1251.671875,1.27E-08,3.006784424,S2
0.262381643,0.222329259,0.284835249,1211.625,0.631045813,5.605811082,S1
0.297784448,0.252993435,0.318309903,1096.15625,1.226637311,6.29568544,S2
0.203921735,0.184617192,0.190638781,1127.703125,2.143194307,7.125618853,S3
0.382616878,0.326303303,0.371129185,1002.03125,5.63400026,5.999778613,S4
0.276461065,0.244116157,0.26604116,1010,1.095757432,6.292395465,S3
0.368664026,0.311459959,0.370908886,1020.171875,4.154542267,7.341053873,S4
0.272789448,0.243931845,0.283114374,1071.078125,0.744530885,6.038212441,S4
0.322651207,0.279719293,0.329848826,1049.40625,1.916082391,5.924432591,S3
0.301613152,0.267037421,0.27842629,1060.671875,0.681997229,6.269692235,S4
0.270856798,0.241551057,0.255878299,1062.328125,1.467865051,6.585850596,S4
0.324767768,0.280753553,0.310431361,1072.765625,2.551850181,7.363782749,S2
0.297180682,0.258750141,0.282732248,1016.796875,2.253028627,6.175147243,S3
0.269568026,0.234490931,0.262853295,1037.703125,0.7873384,5.721705317,S1
0.269097745,0.239135548,0.283391833,1114.21875,0.767776383,6.301697373,S3
0.353525996,0.306256145,0.333265066,1041.734375,0.77129679,5.693623625,S2
0.369679332,0.315772712,0.356217206,994.4375,5.904297359,6.355291888,S4
0.235397875,0.210078627,0.280910671,1236.9375,0.884227791,5.954024009,S2
0.278744102,0.240229964,0.320195377,1110.578125,0.581238969,6.033098005,S3
0.359564424,0.300715148,0.354649395,1028.46875,0.701272491,6.085722797,S3
0.310839534,0.270962298,0.315863073,1151.859375,1.799232463,6.181131542,S3
0.293944061,0.253246397,0.314161927,1130.078125,1.593383228,7.192802727,S3
0.371294111,0.31733191,0.355844259,998.875,5.86448852,6.316665977,S4
0.28710711,0.250031292,0.311876535,1108.03125,1.140774827,6.495646358,S3
0.260137886,0.234239936,0.283658266,1084.9375,1.61818221,6.085191794,S1
0.299935937,0.266530693,0.301448703,1067.640625,1.668567019,6.316597886,S3
0.384918422,0.329230011,0.352680832,997.515625,5.569539301,6.03482724,S4
0.333081156,0.28407681,0.353035718,1017.6875,1.949336602,5.753212243,S2
0.300470412,0.265613228,0.286289364,1058.703125,2.256831234,6.608208403,S1
0.27142942,0.240607262,0.254199564,1035,0.599140458,6.330276556,S4
0.308322072,0.269244194,0.302910745,1078.796875,1.291075383,5.431964107,S1
0.265671432,0.233706683,0.26633665,1129.609375,1.871497749,6.383288413,S1
0.236897722,0.211918622,0.278430998,1089.890625,0.842005806,6.482345901,S2
0.372903943,0.31875518,0.366877198,1001.734375,5.040966265,6.20757658,S4
0.296866477,0.258934855,0.285827875,1120.8125,0.740797262,6.055829078,S2
0.30515027,0.267292857,0.301233172,1054.734375,0.732275171,5.869114973,S3
0.26761204,0.237730697,0.301446319,1258.984375,1.208618882,6.557457544,S1
0.395768464,0.332794458,0.392673403,1055.78125,0.409924096,5.415296033,S4
0.26437366,0.229651138,0.263949662,1185.25,0.807780245,5.928710461,S3
0.139594451,0.143532604,0.119520396,1111.71875,1.924908327,6.448483199,S2
0.29990989,0.264939725,0.297170281,1038.59375,1.94137197,6.291476056,S2
0.292143077,0.254547596,0.310679168,1079.375,1.190909428,6.142702281,S3
0.22288835,0.199028343,0.189070433,1150.3125,0.403117479,6.027926907,S1
0.262539148,0.234711975,0.266907871,1082.171875,2.24982335,6.619811349,S2
0.379958868,0.322801977,0.366202265,996.890625,5.835041314,6.617827751,S4
0.376060337,0.320371926,0.358828902,1003.859375,5.633837272,6.379056528,S4
0.383648276,0.328663558,0.37030068,997.34375,5.168500088,6.71904248,S4
0.406209826,0.343236804,0.379287243,1026.5625,4.627846978,6.668873876,S2
